method,seed,correlation,accuracy,macro_f1,worst_client_accuracy,p10_client_accuracy,client_accuracy_sd,effective_bits,compressed_bits,raw_selected_bits,mean_selected_hops,mean_selected_etx,energy_j,min_residual_energy_j,max_relay_energy_j,participation_jain,utility_target_js,class_coverage_js
fedcg_adapted,73,0.0,0.8734613490891187,0.8685087336825643,0.5833333333333334,0.6996629213483145,0.10164730400621849,8902596.931456048,5038656.0,32390400.0,1.075,1.7898207663732526,14.805302574549039,8.108569680456602,0.5181344215620675,0.772499034376207,0.08354980400645451,3.8907526556645046e-05
fedcg_adapted,79,0.0,0.8695224027572624,0.8619016104120294,0.5,0.6924157303370786,0.11900903278984465,9505341.777276188,4901088.0,32390400.0,1.12,1.9425756647384897,15.878635934840874,8.033578473989229,0.602769136522978,0.7601672367920943,0.12206023508188574,0.00014542343908905114
fedcg_adapted,83,0.0,0.8857705563761694,0.8814568945255945,0.55,0.7123015873015873,0.11096323438391022,9541447.023060005,4876800.0,32390400.0,1.14,1.9564975030880933,16.012231545044003,7.816759252419832,0.7982928219621334,0.6253908692933083,0.16979224208173016,6.413275686205686e-05
fedcg_adapted,89,0.0,0.8774002954209749,0.8713076519887276,0.55,0.6994444444444444,0.11407828054050148,8724262.073450338,4876800.0,32390400.0,1.075,1.7889316915703628,14.337316433713067,8.025884378921267,0.733131088957515,0.6150061500615006,0.1788427333372497,0.00013149880993258164
fedcg_adapted,97,0.0,0.8769079271294928,0.8725003713299491,0.5833333333333334,0.6985714285714285,0.10332456947305527,10100158.006926818,5160048.0,32390400.0,1.07,1.9907012921355685,16.427012710238568,7.9871188769495856,0.6453383118786682,0.7619047619047619,0.11413560193083297,0.00020834455833876634
proposed,53,0.0,0.880354505169867,0.8771625478895979,0.5833333333333334,0.75446227929374,0.09192937421659401,11542852.831229677,4990080.0,32390400.0,1.24,2.337525422424825,19.70879160806031,7.108439428885594,1.7011292848389887,0.7898894154818326,0.03283347585570453,6.579871472932514e-05
proposed,59,0.0,0.880846873461349,0.876554801327215,0.5833333333333334,0.7301605136436597,0.09894450610483808,11166198.561525991,5168208.0,32390400.0,1.165,2.2122075183036403,18.693249781675163,7.044128981968127,0.9855492186273773,0.7532956685499058,0.02801545874042989,7.250278085664053e-05
proposed,61,0.0,0.8911866075824717,0.8860795514245883,0.5,0.7720385232744783,0.10732110995658556,11264150.468991363,5046720.0,32390400.0,1.25,2.266150634073092,19.537935839278777,7.328650063350203,1.4389380352243,0.7889546351084813,0.028352587256646373,0.00012163729044268001
proposed,67,0.0,0.8828163466272771,0.8794038423805203,0.5833333333333334,0.7388443017656501,0.09784109890535066,9978960.253356256,4957728.0,32390400.0,1.115,2.0259658049596467,16.523068656877925,7.830875483544785,0.6709936889979516,0.7917656373713381,0.033400036017320375,8.422951722077653e-05
proposed,71,0.0,0.8739537173806007,0.8687928095113078,0.6666666666666666,0.7382343499197432,0.08787794327203664,11441156.715585113,5014368.0,32390400.0,1.2,2.3102759425277917,19.423572944819416,7.967733640468229,0.8845350544064552,0.7843137254901961,0.04249595477088795,7.575634761598142e-05
proposed,73,0.0,0.8906942392909897,0.8855380725853733,0.5166666666666667,0.7416051364365971,0.10763780790342788,10279410.816395603,5119584.0,32390400.0,1.115,2.0529538501132385,17.296968549160816,7.8221344552549095,0.6838707310020036,0.7415647015202076,0.031235222853278025,4.617036942385067e-05
proposed,79,0.0,0.8867552929591335,0.8821315453387073,0.5666666666666667,0.737741935483871,0.10824652694472703,11161573.491287138,4957728.0,32390400.0,1.19,2.2661034176019372,19.106440003758085,8.14673745091226,1.1506041581211632,0.8514261387824607,0.020924889551977396,9.377269356910536e-05
proposed,83,0.0,0.8887247661250616,0.8854254764404373,0.5666666666666667,0.7728571428571429,0.0993005817772829,12090804.724724133,4957728.0,32390400.0,1.295,2.460500003749803,21.221946738109573,6.185581180739907,1.8366936286735236,0.8250825082508251,0.03479768955827389,3.893324248142741e-05
proposed,89,0.0,0.8764155588380108,0.8720810755209275,0.5833333333333334,0.751091492776886,0.09584137965546351,11437568.685066262,5014368.0,32390400.0,1.26,2.3112981019366843,19.737165563202606,6.811950191649274,1.980306317520956,0.8312551953449709,0.029513381422322536,0.00013343965640389712
proposed,97,0.0,0.8921713441654358,0.8869796956622552,0.5666666666666667,0.7720385232744783,0.0990814430343815,11840345.42486741,5111472.0,32390400.0,1.21,2.361912064209654,19.993610269279227,7.818025121998891,1.5089450862514573,0.8635578583765112,0.02509939562235641,1.8442317942781366e-05
