seed,correlation,round,method,accuracy,macro_f1,effective_bits,compressed_bits,raw_selected_bits,mean_selected_hops,mean_selected_etx,energy_j,min_residual_energy_j,mean_residual_energy_j,participation_jain,utility_target_js,class_coverage_js,relay_queue_max,relay_energy_max_j,selected,accepted_updates
97,0.0,24,random,0.921,0.921213238000442,1152780.5696741468,449280.0,877824.0,1.3125,2.565839943184979,4.234736593412273,8.776594406525913,9.8377131373456,0.8888888888888888,0.043782950476401586,0.0011137438159286616,0.16089058366894032,0.2528905836689404,6,6
97,0.0,25,random,0.926,0.9260383756407127,1194509.7801842825,468000.0,914400.0,1.3133333333333332,2.552371325180092,4.40101890568185,8.776594406525913,9.830784707667702,0.8979885057471264,0.04102965538729918,0.0008743285455614578,0.15689058366894032,0.2528905836689404,6,6
97,0.0,26,random,0.927,0.9270513680741038,1231673.1091018587,486720.0,950976.0,1.3076923076923077,2.5305578342822557,4.556909437724545,8.776594406525913,9.824289268832588,0.9086021505376344,0.03877302695603123,0.0007110648453768595,0.15289058366894032,0.2528905836689404,6,6
97,0.0,27,random,0.928,0.9279903937853817,1285030.3777900734,505440.0,987552.0,1.3148148148148149,2.542399449568839,4.748320564371632,8.749581483331172,9.816313805222293,0.9022277227722773,0.040582726523053766,0.0005573889541672977,0.1651140257608867,0.2691140257608868,6,6
97,0.0,28,random,0.927,0.9269488967906045,1328058.635703946,524160.0,1024128.0,1.3095238095238095,2.5336893996183356,4.914736510279637,8.72256856013643,9.809379807476127,0.9088098918083463,0.03906215203395011,0.0005411379059430752,0.1611140257608867,0.2691140257608868,6,6
97,0.0,29,random,0.931,0.9308247942130796,1379993.8200117138,542880.0,1060704.0,1.3103448275862069,2.5419868479437717,5.097317341322128,8.72256856013643,9.801772272849357,0.9194606413994169,0.03667965915789514,0.0006190594680730659,0.1571140257608867,0.2691140257608868,6,6
97,0.0,30,random,0.93,0.9297867954294258,1419943.5041950494,561600.0,1097280.0,1.3055555555555556,2.5283894305467416,5.256784825435176,8.72256856013643,9.795127794344646,0.9233926128590971,0.035226606167816255,0.0005882602587925412,0.1531140257608867,0.2691140257608868,6,6
97,0.0,31,random,0.926,0.9258974255435028,1457887.076322506,580320.0,1133856.0,1.3010752688172043,2.512212359254388,5.4131066230306635,8.72256856013643,9.788614386111501,0.9324062095730918,0.03386129816419625,0.0005565649140316143,0.1491140257608867,0.2691140257608868,6,6
97,0.0,32,random,0.927,0.926756755664532,1500672.8772984752,599040.0,1170432.0,1.296875,2.5051296696355436,5.578420421237413,8.72256856013643,9.781726311186219,0.9331713244228432,0.03528459020332047,0.0003938500888432956,0.1451140257608867,0.2691140257608868,6,6
97,0.0,33,random,0.926,0.9259325638883741,1538947.744766566,617760.0,1207008.0,1.292929292929293,2.4911741530150326,5.73597826110588,8.72256856013643,9.775161401191701,0.9302391799544419,0.0368535358570117,0.0004525910139379495,0.1411140257608867,0.2691140257608868,6,6
97,0.0,34,random,0.929,0.9288507844285052,1573116.1417905083,636480.0,1243584.0,1.2843137254901962,2.471587703919226,5.883230856641794,8.72256856013643,9.769025876377704,0.9292604501607717,0.03762257761865499,0.00026552188545578303,0.1371140257608867,0.2691140257608868,6,5
