round,round_airtime_s,elapsed_channel_time_s,alive_nodes,dead_nodes,residual_energy_j,generated_packets,delivered_packets,energy_drops,pdr,avg_delay_s,throughput_bps
182,1.552,290.8159999999994,97,3,30.16028807482608,18176,18173,3,0.9998349471830986,0.8080015012708036,249958.73679577516
183,1.552,292.3679999999994,96,4,30.060633344758667,18273,18269,4,0.9997810977945603,0.8078701250854387,249945.27444864056
184,1.536,293.9039999999994,95,5,29.96434377887667,18369,18364,5,0.999727802275573,0.8077317766980254,249931.95056889372
185,1.52,295.4239999999994,95,5,29.86904129941404,18464,18459,5,0.9997292027729636,0.8075324437607236,249932.3006932414
186,1.52,296.9439999999994,95,5,29.77373881995142,18559,18554,5,0.9997305889325934,0.8073351520683334,249932.64723314886
187,1.52,298.4639999999994,95,5,29.67843634048879,18654,18649,5,0.9997319609735178,0.8071398704258951,249932.99024337996
188,1.52,299.98399999999936,95,5,29.58313386102617,18749,18744,5,0.9997333191103526,0.8069465682708694,249933.3297775887
189,1.52,301.50399999999934,95,5,29.487831381563534,18844,18839,5,0.9997346635533857,0.8067552156571918,249933.66588834696
190,1.52,303.0239999999993,94,6,29.393660147714623,18939,18933,6,0.9996831934104229,0.8065483303951843,249920.7983526063
191,1.504,304.52799999999934,94,6,29.30099520112365,19033,19027,6,0.9996847580518048,0.8063233074566778,249921.18951295174
192,1.504,306.03199999999936,94,6,29.208330254532672,19127,19121,6,0.9996863073142678,0.8061004969710996,249921.5768285675
193,1.504,307.5359999999994,94,6,29.115665307941704,19221,19215,6,0.9996878414234431,0.8058798664684144,249921.9603558613
194,1.504,309.0399999999994,94,6,29.02300036135073,19315,19309,6,0.9996893606005695,0.805661384110869,249922.34015014287
195,1.504,310.5439999999994,94,6,28.930335414759746,19409,19403,6,0.9996908650625999,0.8054450186776764,249922.71626565044
196,1.504,312.04799999999943,94,6,28.83767046816877,19503,19497,6,0.9996923550223042,0.8052307395501432,249923.08875557652
197,1.504,313.55199999999945,94,6,28.7450055215778,19597,19591,6,0.9996938306883707,0.8050185166972247,249923.4576720931
198,1.504,315.0559999999995,94,6,28.652340574986823,19691,19685,6,0.999695292265502,0.8048083206614943,249923.82306637592
199,1.504,316.5599999999995,94,6,28.559675628395848,19785,19779,6,0.999696739954511,0.804600122545513,249924.18498862814
200,1.504,318.0639999999995,93,7,28.46933494679957,19879,19872,7,0.9996478696111475,0.804427076034112,249911.96740278724
201,1.488,319.5519999999995,93,7,28.37918162153357,19972,19965,7,0.9996495093130382,0.8041875224679214,249912.37732825996
202,1.488,321.0399999999995,93,7,28.28902829626757,20065,20058,7,0.999651133815101,0.8039501903078184,249912.7834537756
203,1.488,322.5279999999995,93,7,28.198874971001565,20158,20151,7,0.999652743327711,0.8037150487973995,249913.18583192816
204,1.488,324.0159999999995,93,7,28.108721645735564,20251,20244,7,0.9996543380573799,0.8034820677454343,249913.58451434536
205,1.488,325.5039999999995,93,7,28.01856832046956,20344,20337,7,0.9996559182068423,0.8032512175129441,249913.97955171095
206,1.488,326.9919999999995,92,8,27.928613051195658,20437,20429,8,0.9996085531144493,0.8030413647855175,249902.1382786127
207,1.472,328.4639999999995,92,8,27.840887871832525,20529,20521,8,0.9996103073700618,0.8027811545171252,249902.57684251585
208,1.472,329.93599999999947,92,8,27.753162692469402,20621,20613,8,0.9996120459725523,0.8025232669911472,249903.01149313847
209,1.472,331.40799999999945,92,8,27.665437513106276,20713,20705,8,0.9996137691304977,0.8022676712451634,249903.44228262486
210,1.472,332.8799999999994,92,8,27.577712333743147,20805,20797,8,0.9996154770487864,0.8020143368646294,249903.86926219703
211,1.472,334.3519999999994,91,9,27.49123177800667,20897,20888,9,0.9995693161697852,0.8017824202383933,249892.32904244674
212,1.456,335.8079999999994,90,10,27.405929168161006,20988,20978,10,0.9995235372593864,0.8015136439903527,249880.884314847
213,1.44,337.2479999999994,90,10,27.322938268010823,21078,21068,10,0.9995255716861182,0.8012038757034212,249881.39292152997
214,1.44,338.6879999999994,90,10,27.239947367860637,21168,21158,10,0.9995275888133031,0.8008967427455211,249881.8972033262
215,1.44,340.1279999999994,90,10,27.15695646771045,21258,21248,10,0.9995295888606642,0.8005922116293201,249882.39721516648
216,1.44,341.5679999999994,90,10,27.07396556756027,21348,21338,10,0.9995315720442196,0.800290249432461,249882.89301105533
217,1.44,343.0079999999994,90,10,26.990974667410082,21438,21428,10,0.9995335385763597,0.7999908237856969,249883.38464409037
218,1.44,344.4479999999994,90,10,26.9079837672599,21528,21518,10,0.9995354886659235,0.799693902861324,249883.87216648128
219,1.44,345.8879999999994,90,10,26.824992867109714,21618,21608,10,0.9995374225182718,0.7993994553619044,249884.35562956837
220,1.44,347.3279999999994,90,10,26.742001966959535,21708,21698,10,0.9995393403353602,0.7991074505092676,249884.83508384047
221,1.44,348.7679999999994,90,10,26.65901106680935,21798,21788,10,0.9995412423158088,0.7988178580337868,249885.31057895263
222,1.44,350.2079999999994,90,10,26.57602016665917,21888,21878,10,0.9995431286549707,0.7985306481639183,249885.7821637431
223,1.44,351.6479999999994,90,10,26.493029266508984,21978,21968,10,0.9995449995449995,0.7982457916159988,249886.24988625033
224,1.44,353.0879999999994,87,13,26.411386676082547,22068,22055,13,0.999410911727388,0.7979331026299691,249852.72793184745
225,1.3920000000000001,354.4799999999994,87,13,26.335098223743632,22155,22142,13,0.9994132250056421,0.7975679526143833,249853.30625141095
226,1.3920000000000001,355.8719999999994,87,13,26.258809771404717,22242,22229,13,0.9994155201870335,0.7972056608516523,249853.8800467588
227,1.3920000000000001,357.2639999999994,86,14,26.184510099696258,22329,22315,14,0.999373012674101,0.7968445737346008,249843.25316852567
228,1.3760000000000001,358.63999999999936,86,14,26.1104330516773,22415,22401,14,0.9993754182467098,0.7964612602430183,249843.8545616779
229,1.3760000000000001,360.01599999999934,86,14,26.036356003658337,22501,22487,14,0.9993778054308697,0.796080878664121,249844.4513577179
230,1.3760000000000001,361.3919999999993,86,14,25.96227895563938,22587,22573,14,0.9993801744366229,0.7957033954873666,249845.0436091562
231,1.3760000000000001,362.7679999999993,86,14,25.888201907620424,22673,22659,14,0.9993825254708243,0.7953287777109564,249845.63136770658
232,1.3760000000000001,364.14399999999927,86,14,25.81412485960146,22759,22745,14,0.9993848587372028,0.794956992832218,249846.21468430123
233,1.3760000000000001,365.51999999999924,86,14,25.740047811582507,22845,22831,14,0.9993871744364193,0.7945880088382039,249846.79360910534
234,1.3760000000000001,366.8959999999992,85,15,25.66660301674527,22931,22916,15,0.9993458636779905,0.7942249894020788,249836.46591949815
235,1.36,368.25599999999923,85,15,25.594665422799736,23016,23001,15,0.9993482794577685,0.7938361325373263,249837.06986444266
236,1.36,369.61599999999925,85,15,25.522727828854205,23101,23086,15,0.9993506774598502,0.7934501391251861,249837.66936496308
237,1.36,370.97599999999926,85,15,25.450790234908673,23186,23171,15,0.999353057879755,0.7930669776529736,249838.26446993925
238,1.36,372.3359999999993,85,15,25.378852640963142,23271,23256,15,0.9993554209101456,0.7926866170687158,249838.8552275369
239,1.36,373.6959999999993,85,15,25.306915047017608,23356,23341,15,0.9993577667408803,0.7923090267727629,249839.44168522055
240,1.36,375.0559999999993,85,15,25.234977453072073,23441,23426,15,0.9993600955590631,0.7919341766095819,249840.02388976625
